JVSITEID;txtMS;dtmPlan;dtmForecast;dtmActual;
JB9321;MS15;2006-11-21;2006-10-24;2006-10-24;
JB9324;MS13;2006-11-22;2006-10-20;2006-10-20;
JB9324;MS11;2006-07-19;2006-09-15;2006-09-15;
JB9324;MS18;2006-08-02;2006-10-06;2006-10-06;
JB9327;MS18;2006-09-19;2006-08-25;2006-08-25;
JB9348;MS11;2006-08-25;2006-09-21;2006-09-21;
JB9348;MS15;2006-11-29;2006-11-06;2006-11-06;
JB9347;MS18;2006-09-28;2006-10-31;2006-10-31;
JB9346;MS13;2006-09-21;2006-11-03;2006-11-03;
JB9346;MS05;2006-07-03;2006-07-05;2006-07-05;
JB9346;MS10;2006-08-16;2006-09-26;2006-09-26;
JB9346;MS18;2006-09-14;2006-10-27;2006-10-27;
JB9358;MS05;2006-07-03;2006-06-30;2006-06-30;
JB9358;MS10;2006-08-25;2006-08-11;2006-08-11;
JB9358;MS18;2006-09-14;2006-09-27;2006-09-27;
JB9358;MS15;2006-09-22;2007-01-18;2007-01-18;
JB9359;MS13;2006-10-06;2006-10-13;2006-10-13;
JB9359;MS05;2006-06-16;2006-06-23;2006-06-23;
JB9359;MS10;2006-08-18;2006-08-30;2006-08-30;
JB9359;MS11;2006-08-25;2006-08-31;2006-08-31;
JB9359;MS15;2006-10-20;2006-10-30;2006-10-30;
JB9360;MS13;2006-09-21;2007-01-23;2007-01-23;
JB9353;MS13;2006-11-20;2006-09-26;2006-09-26;
JB9353;MS05;2006-06-16;2006-06-20;2006-06-20;
JB9353;MS18;2006-09-28;2006-08-18;2006-08-18;
JB9325;MS18;2006-08-24;2006-10-11;2006-10-11;
JB9322;MS13;2006-09-15;2007-02-06;2007-02-06;
JB9322;MS05;2006-05-29;2006-05-25;2006-05-25;
JB9322;MS15;2006-09-29;2007-02-16;2007-02-13;
JB9316;MS13;2006-09-15;2006-12-11;2006-12-11;
JB9316;MS05;2006-05-29;2006-05-23;2006-05-23;
JB9316;MS11;2006-08-10;2006-06-20;2006-06-20;
JB9336;MS05;2006-06-02;2006-05-26;2006-05-26;
JB9336;MS10;2006-08-16;2006-06-28;2006-06-28;
JB9336;MS18;2006-09-14;2006-08-04;2006-08-04;
JB9331;MS15;2006-12-07;2006-10-17;2006-10-17;
JB9361;MS05;2006-05-30;2006-05-19;2006-05-19;
JB9361;MS18;2007-04-09;2006-11-03;2006-11-03;
JB9345;MS10;2006-08-16;2006-07-21;2006-07-21;
JB9345;MS11;2006-08-25;2006-08-10;2006-08-03;
JB9345;MS18;2006-09-08;2006-08-18;2006-08-18;
JB9363;MS13;2006-10-16;2006-11-22;2006-11-22;
JB9363;MS10;2006-08-31;2006-07-14;2006-07-14;
JB9363;MS18;2006-09-21;2006-09-01;2006-09-01;
JB9365;MS13;2006-10-16;2006-10-27;2006-10-27;
JB9365;MS05;2006-06-22;2006-06-23;2006-06-23;
JB9366;MS13;2006-11-07;2006-11-01;2006-11-01;
JB9367;MS13;2006-11-09;2006-10-23;2006-10-23;
JB9367;MS05;2006-06-23;2006-06-23;2006-06-23;
JB9368;MS11;2006-09-14;2006-07-28;2006-07-28;
JB9369;MS13;2006-11-10;2006-11-01;2006-11-01;
JB9369;MS15;2006-11-24;2006-11-08;2006-11-08;
JB9370;MS05;2006-06-23;2006-06-23;2006-06-23;
JB9337;MS10;2006-08-16;2006-07-06;2006-07-06;
JB9337;MS15;2006-10-10;2006-11-13;2006-11-13;
JB9333;MS10;2006-07-12;2006-06-30;2006-06-30;
JB9333;MS11;2006-07-27;2006-07-03;2006-07-03;
JB9333;MS15;2006-09-12;2006-10-04;2006-10-04;
JB9308;MS18;2006-08-04;2006-08-11;2006-08-11;
JB9332;MS10;2006-07-12;2006-06-08;2006-06-08;
JB9332;MS11;2006-07-27;2006-06-09;2006-06-09;
JB9332;MS18;2006-08-10;2006-08-11;2006-08-11;
JB9332;MS15;2006-09-07;2006-10-10;2006-10-10;
JS9012;MS18;2005-03-24;2005-03-24;2005-03-24;
JS9024;MS05;2004-09-10;2004-09-10;2004-09-10;
JS9026;MS10;2005-03-04;2005-03-01;2005-03-04;
JS9040;MS15;2005-04-29;2005-04-29;2005-04-29;
JS9040;MS11;2005-03-14;2005-03-14;2005-03-14;
JS9542;MS13;2004-12-17;2006-11-27;2006-11-27;
JS9542;MS10;2004-11-04;2006-10-20;2006-10-20;
JS9542;MS18;2004-12-03;2006-11-03;2006-11-03;
JS9051;MS05;2004-11-05;2004-11-05;2004-11-05;
JS9051;MS10;2005-02-22;2005-02-22;2005-02-22;
JS9051;MS11;2005-03-07;2005-03-08;2005-03-07;
JS9056;MS15;2005-04-02;2005-04-02;2005-04-02;
JS9056;MS05;2004-11-05;2004-11-05;2004-11-05;
JS9056;MS11;2005-01-17;2005-01-17;2005-01-17;
JS9056;MS18;2005-02-23;2005-02-23;2005-02-23;
JS9057;MS15;2005-07-19;2005-07-19;2005-07-19;
JS9057;MS05;2004-11-05;2004-11-05;2004-11-05;
JS9057;MS10;2005-06-14;2005-06-14;2005-06-14;
JS9058;MS13;2005-04-20;2005-04-20;2005-04-20;
JS9058;MS05;2004-11-05;2004-11-05;2004-11-05;
JS9059;MS10;2005-02-22;2005-02-22;2005-02-22;
JS9107;MS15;2005-06-07;2005-06-07;2005-06-07;
JS9107;MS10;2005-03-11;2005-03-11;2005-03-11;
JS9117;MS11;2005-01-17;2005-01-17;2005-01-17;
JS9124;MS18;2005-07-22;2005-07-22;2005-07-22;
JS9125;MS15;2005-07-14;2005-07-17;2005-07-14;
JS9125;MS11;2005-03-17;2005-03-17;2005-03-17;
JS9126;MS05;2004-11-05;2004-11-05;2004-11-05;
JS9130;MS13;2005-04-06;2005-04-06;2005-04-06;
JS9130;MS05;2004-11-08;2004-11-08;2004-11-08;
JS9130;MS11;2005-01-28;2005-01-28;2005-01-28;
JS9131;MS05;2004-11-05;2004-11-05;2004-11-05;
JS9131;MS10;2005-02-22;2005-02-22;2005-02-22;
JS9338;MS11;2005-06-24;2005-06-24;2005-06-24;
JS9135;MS15;2005-06-22;2005-06-22;2005-06-22;
JS9143;MS11;2005-02-28;2005-02-28;2005-02-28;
JS9144;MS05;2004-11-05;2004-11-05;2004-11-05;
JS9144;MS11;2005-04-29;2005-04-23;2005-04-29;
JS9158;MS11;2005-05-27;2005-06-05;2005-05-27;
JS9158;MS18;2005-08-12;2005-08-12;2005-08-12;
JS9159;MS05;2004-11-05;2004-11-05;2004-11-05;
JS9166;MS11;2005-03-12;2005-03-12;2005-03-12;
JS9166;MS18;2005-04-01;2005-04-01;2005-04-01;
JB9364;MS15;2006-10-30;2006-12-11;2006-12-11;
JB9349;MS13;2006-11-17;2006-09-21;2006-09-21;
JB9349;MS05;2006-06-15;2006-06-20;2006-06-20;
JB9349;MS10;2006-08-18;2006-07-24;2006-07-24;
JB9349;MS18;2006-09-08;2006-08-11;2006-08-11;
JB9356;MS05;2006-06-23;2006-06-23;2006-06-23;
JB9356;MS10;2006-09-27;2006-09-15;2006-09-15;
JB9356;MS18;2006-10-26;2006-10-03;2006-10-03;
JB9355;MS13;2006-09-21;2006-12-15;2006-12-15;
JB9355;MS18;2006-09-22;2006-12-06;2006-12-06;
JB9355;MS15;2006-10-05;2006-12-15;2006-12-15;
JB9343;MS13;2006-11-20;2006-10-05;2006-10-05;
JB9343;MS05;2006-06-19;2006-06-20;2006-06-20;
JB9343;MS11;2006-09-14;2006-07-28;2006-07-28;
JB9343;MS18;2006-09-28;2006-08-28;2006-08-28;
JB9343;MS15;2006-12-04;2006-10-13;2006-10-13;
JB9354;MS05;2006-06-26;2006-06-23;2006-06-23;
JB9354;MS10;2006-09-27;2006-10-24;2006-10-24;
JB9352;MS05;2006-07-03;2006-06-30;2006-06-30;
JB9352;MS11;2006-09-19;2006-07-27;2006-07-27;
JB9357;MS13;2006-11-02;2007-03-01;2007-03-01;
JB9357;MS11;2006-10-12;2006-10-23;2006-10-23;
JB9351;MS10;2006-08-24;2006-07-28;2006-07-28;
JB9351;MS11;2006-08-31;2006-08-29;2006-08-29;
JB9351;MS18;2006-09-14;2006-09-08;2006-09-08;
JB9350;MS05;2006-06-30;2006-06-30;2006-06-30;
JB9350;MS11;2006-08-31;2006-09-22;2006-09-22;
JB9350;MS18;2006-09-14;2006-10-27;2006-10-27;
JB9341;MS11;2006-08-04;2006-08-11;2006-08-11;
