jv_site_number,site_name,site_number,wa_status,work_type,program_year_build,pccs_forecast_date,pccs_actual_date,sae_forecast_date,sae_actual_date,cws_forecast_date,cws_actual_date,pc_forecast_date,pc_actual_date,tx_forecast_date,tx_actual_date,op_rfi_forecast_date,op_rfi_actual_date,WA_ID,equip_forecast_date,equip_actual_date
JM9875,Keysborough North -O,M1226,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102079
JM9877,Endeavour Hills West -O,M1236,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102080
JM9879,Clayton Business Park -O,M1257,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102081
JM9881,Noble Park North -O,M1295,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102082
JM9890,Oakleigh East2 -O,M1542,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102083
JM9900,Bell Park -O,M0916,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102084
JP9355,Kelmscott North -O,P8288,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102094
JP9293,South Fremantle -O,P0139,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102085
JP9294,ShentonPark -O,P0140,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102086
JP9296,Rokeby Road -O,P0184,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102087
JP9297,Albany Highway -O,P0323,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102088
JP9299,Doubleview North -O,P0362,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102089
JP9300,Perth West (Comm Bank) -O,P0001,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102090
JP9301,Girrawheen -O,P0264,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102091
JP9303,Peppermint Grove -O,P0194,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102092
JP9304,Scarborough -O,P0076,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102093
JS6190,Parramatta AMWU -O,S0409,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102075
JS6112,Rooty Hill M7 -O,S5749,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102095
JS6117,Bankstown Airport -O,S0479,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102096
JS6119,Gosford CBD -O,S0656,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102097
